Radar Image Timestamp,Latitude,Longitude,DBZH
20240101 08:20:00,65.06001390132062,-14.0937501982688,65.5
20240101 08:20:00,65.07257795659307,-14.013930722646617,68.0
20240101 08:20:00,65.0788451370435,-13.973994692329885,65.5
20240101 08:20:00,65.0913497690633,-13.894070118300453,65.5
20240101 08:20:00,65.09758720684032,-13.854081603441672,65.5
20240101 08:20:00,65.08080327341561,-13.838525037374358,65.0
20240101 08:20:00,65.08702651869501,-13.798539815509168,66.0
20240101 08:20:00,65.09323983377523,-13.758537176878285,65.0
20240101 08:20:00,65.0994432117869,-13.718517136146101,66.0
20240101 08:20:00,65.10563664586478,-13.678479708046398,65.0
20240101 08:20:00,65.11182012914745,-13.638424907382294,65.0
20240101 08:20:00,65.07644578861243,-13.743043605506115,65.0
20240101 08:20:00,65.08883410636679,-13.663027790197003,66.0
20240101 08:20:00,65.09501334957842,-13.622993867912003,65.0
20240101 08:35:00,65.06590280232886,-14.420165268706253,65.5
20240101 08:35:00,65.07457941371749,-14.244896504211605,66.0
20240101 08:35:00,65.08090465629094,-14.205007285328948,65.5
20240101 08:35:00,64.83709859714376,-15.574071683832921,70.0
20240101 08:35:00,65.08306178683887,-14.069530682323604,65.5
20240101 08:35:00,53.42005187078165,6.968672513419407,66.0
20240101 08:50:00,65.08015146185356,-14.571540117304027,66.0
20240101 08:50:00,65.05952390866169,-14.459986357708951,65.5
20240101 08:50:00,65.06590280232886,-14.420165268706253,65.5
20240101 08:50:00,65.07227184430624,-14.380326426108395,65.5
20240101 08:50:00,65.04280521497343,-14.444077368425207,65.5
20240101 08:50:00,64.83709859714376,-15.574071683832921,67.0
20240101 08:50:00,65.07677051447324,-14.109452220576586,66.0
20240101 08:50:00,65.08306178683887,-14.069530682323604,65.0
20240101 08:50:00,65.08934316106436,-14.02959157160591,65.0
20240101 08:50:00,64.80717896076847,-15.636064210009758,71.0
20240101 08:50:00,65.06001390132062,-14.0937501982688,66.0
20240101 08:50:00,64.79725451407475,-15.580421863463432,71.0
20240101 09:05:00,65.05952390866169,-14.459986357708951,67.5
20240101 09:05:00,65.06590280232886,-14.420165268706253,68.0
20240101 09:05:00,65.07227184430624,-14.380326426108395,66.5
20240101 09:05:00,65.04280521497343,-14.444077368425207,67.5
20240101 09:05:00,65.07457941371749,-14.244896504211605,65.0
20240101 09:05:00,65.08090465629094,-14.205007285328948,65.0
20240101 09:05:00,64.83709859714376,-15.574071683832921,70.5
20240101 09:20:00,65.08015146185356,-14.571540117304027,65.0
20240101 09:20:00,65.06590280232886,-14.420165268706253,65.0
20240101 09:20:00,65.04280521497343,-14.444077368425207,70.0
20240101 09:20:00,65.06824429614798,-14.284768059565446,65.0
20240101 09:20:00,65.08090465629094,-14.205007285328948,66.5
20240101 09:20:00,65.05150658211818,-14.268962366204864,65.0
20240101 09:20:00,65.06415830301597,-14.189242523002656,66.0
20240101 09:20:00,65.07046935089015,-14.149356172176104,66.0
20240101 09:20:00,65.07677051447324,-14.109452220576586,67.5
20240101 09:20:00,65.08306178683887,-14.069530682323604,67.5
20240101 09:20:00,65.06001390132062,-14.0937501982688,65.5
20240101 09:35:00,65.06590280232886,-14.420165268706253,66.5
20240101 09:35:00,65.07227184430624,-14.380326426108395,66.5
20240101 09:35:00,65.06189931053292,-14.324621937475149,65.0
20240101 09:35:00,65.06824429614798,-14.284768059565446,66.5
20240101 09:35:00,65.07457941371749,-14.244896504211605,65.5
20240101 09:35:00,65.08090465629094,-14.205007285328948,65.0
20240101 09:35:00,64.79725451407475,-15.580421863463432,68.0
20240101 09:35:00,64.54494496629275,-15.469340695818035,76.5
20240101 09:35:00,51.80912933942159,5.156575332307088,65.5
20240101 09:35:00,51.810358781231365,5.185597947284956,65.5
20240101 09:35:00,51.79118303806798,5.158528024595258,65.5
20240101 09:35:00,51.774464940294386,5.189478217188262,65.5
